,Brand,Model Name,Display Size,Operating System,Picture Quality,Smart Tv,Sound Technology,Refresh Rate,Screen Type,Connectivity,Price
512,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
513,SAMSUNG,UA43T5310AKXXL,108 cm (43 inch),Tizen,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹29,799"
514,TCL,32S6500S,79.97 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,Dolby Audio,60 Hz,LED,2 HDMI | 1 USB,"₹27,990"
515,Haier,50P7GT,127 cm (50 inch),NA,"Ultra HD (4K), 3840*2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹37,950"
516,SAMSUNG,UA50AU7500,125 cm (50 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹47,990"
517,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
518,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
519,SONY,XR-65X90J,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,"Acoustic Multi Audio, 3D Surround Upscaling, Dolby Atmos, Voice Zoom2, Acoustic Auto Calibration",120 Hz,LED,4 HDMI | 2 USB,"₹1,39,990"
520,TCL,43P725,108 cm (43 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio MS 12Z,60 Hz,LED,2 HDMI | 1 USB,"₹38,685"
521,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
522,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
523,LG,55UQ9000PSD,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹54,980"
524,Panasonic,TH-55LZ950DX,139 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,OLED,3 HDMI | 2 USB,"₹1,31,980"
525,LG,55LJ550T,139 cm (55 inch),WebOS,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹1,00,990"
526,SAMSUNG,UA55AU7700,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹52,990"
527,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
528,KODAK,75MT5044,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹98,888"
529,Hisense,65U6G,164 cm (65 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Atmos, Dolby Audio, Multi Channel Surround Sound",60 Hz,QLED,3 HDMI | 2 USB,"₹75,900"
530,Sansui,JSW65GSQLED,165 cm (65 inch),NA,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹54,990"
531,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
532,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
533,Sansui,JSW70GSUHDFF,178 cm (70 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹67,999"
534,iFFALCON,55H82,139 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio MS 12D/Y,120 Hz,QLED,4 HDMI | 2 USB,"₹1,79,990"
535,Haier,L55EG,140 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 (Rear) HDMI | 2 (Rear) USB,"₹44,990"
536,SAMSUNG,QA75QN800CKXXL,189 cm (75 inch),Tizen,"Ultra HD (8K), 7680 x 4320",Yes,NA,100 W,QLED,4 HDMI | 3 USB,"₹7,34,990"
537,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
538,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
539,SAMSUNG,QA50QN90BAKLXL,125 cm (50 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, Object Tracking Sound, Q-Symphony, Multiroom Link, Bluetooth Audio, Adaptive Sound, Dual Audio Support (Bluetooth)",100 Hz,QLED,4 Rear HDMI | 2 USB,"₹92,990"
540,Haier,LE32K7700GA,80 cm (32 inch),Android,"Full HD, 1366 x 768",Yes,Dolby Digital,60 Hz,LED,3 HDMI | 2 USB,"₹27,990"
541,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
542,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
543,SONY,XR-55X90L,138.8 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,LED,4 (Rear) HDMI | 2 USB,"₹1,14,990"
544,LG,43UJ752T,108 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Decoder, DTS Decoder",100 Hz,LED,Rear HDMI | Rear USB,"₹45,244"
545,Vu,65PM,164 cm (65 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Plus, DTS Virtual-X Surround Sound, Dolby Audio",60 Hz,LED,3 HDMI | 2 USB,"₹53,990"
546,SAMSUNG,UA32T4600AKXXL,80 cm (32 Inch),Tizen,"HD Ready, 1366 x 768",Yes,NA,60 W,LED,2 HDMI | 1 USB,"₹20,879"
547,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
548,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
549,XElectron,32XETV,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,Dolby Digital,60 Hz,LED,2 HDMI | 2 USB,"₹8,499"
550,LG,55NANO80SQA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹64,990"
551,KODAK,75MT5044,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹98,888"
552,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
553,LG,32LQ6360PSA,81.28 cm (32 inch),Android,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹22,790"
554,KODAK,75CA9099,189 cm (75 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Digital Plus and DTS Trusurround,60 Hz,LED,3 HDMI | 2 USB,"₹89,999"
555,LG,OLED55C8PTA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Decoder, DTS Decoder, Dolby Atmos",120 Hz,OLED,4 HDMI | 3 USB,"₹1,27,999"
556,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
557,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
558,SAMSUNG,UA43AU7600KXXL,108 cm (43 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 (Rear) HDMI | 1 (Rear) USB,"₹33,250"
559,LG,70UQ8040PSB,177 cm (70 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹92,490"
560,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
561,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
562,LG,OLED55A3PSA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,OLED,3 HDMI | 2 USB,"₹1,12,990"
563,SAMSUNG,UA43AU7700,108 cm (43 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹40,490"
564,SKYTRON,S43W2UHFW,108 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹17,754"
565,LG,OLED65C1PTZ,165.1 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 3 USB,"₹1,69,990"
566,Mi,L43M8-5XIN,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹32,999"
567,LG,65UR7550PSC,164 cm (65 inch),WebOS,"Ultra HD (4K), 3,840 x 2,160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹75,980"
568,SONY,XR-65X90L,163.9 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,LED,4 (Rear) HDMI | 2 USB,"₹1,49,990"
569,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
570,Vu,50PM,126 cm (50 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital +, DTS Virtual-X Surround Sound",60 Hz,LED,3 HDMI | 2 USB,"₹45,000"
571,LG,43NANO73TPZ,108 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹36,999"
572,Lloyd,55US850C,140 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Digital,60 Hz,LED,3 HDMI | 2 USB,"₹89,980"
573,LG,55SK8500PTA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,4 HDMI | 3 USB,"₹67,990"
574,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
575,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
576,LG,55NANO80SQA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹64,990"
577,TOSHIBA,50U5050,126 cm (50 inch),VIDAA,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Audio, Dolby Atmos",60 Hz,LED,3 HDMI | 2 USB,"₹46,990"
578,Lloyd,32HS550E,80 cm (32 inch),NA,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹14,990"
579,TCL,50C635,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,3 HDMI | 2 USB,"₹45,090"
580,Vu,50GloLED-3 Yrs,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,LED,3 HDMI | 2 USB,"₹39,990"
581,KODAK,75CA9099,189 cm (75 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Digital Plus and DTS Trusurround,60 Hz,LED,3 HDMI | 2 USB,"₹89,999"
582,Foxsky,32FSN,80 cm (32 inch),NA,"HD Ready, 1920 x 1080",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
583,LG,32LM636BPTB,80 cm (32 inch),WebOS,"HD Ready, 1366 x 768",Yes,DTS,50 Hz,LED,3 HDMI | 2 USB,"₹25,191"
584,Sansui,JSW70ASUHDFF,178 cm (70 inch),NA,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹64,990"
585,LG,OLED55C8PTA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Decoder, DTS Decoder, Dolby Atmos",120 Hz,OLED,4 HDMI | 3 USB,"₹1,27,999"
586,LG,70UQ8040PSB,177 cm (70 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹92,490"
587,BeethoSOL,LEDATVBG2483HD17-TP,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,899"
588,LG,OLED65C1PTZ,165.1 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 3 USB,"₹1,69,990"
589,Haier,LE43K7700UGA,109 cm (43 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹30,109"
590,SONY,XR-65X90L,163.9 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,LED,4 (Rear) HDMI | 2 USB,"₹1,49,990"
591,LG,55SK8500PTA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,4 HDMI | 3 USB,"₹67,990"
592,LG,43NANO73TPZ,108 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹36,999"
593,iFFALCON,55H82,139 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio MS 12D/Y,120 Hz,QLED,4 HDMI | 2 USB,"₹1,79,990"
594,Vu,50PM,126 cm (50 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital +, DTS Virtual-X Surround Sound",60 Hz,LED,3 HDMI | 2 USB,"₹45,000"
595,TCL,55C635,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹46,990"
596,LG,65UR7550PSC,164 cm (65 inch),WebOS,"Ultra HD (4K), 3,840 x 2,160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹75,980"
597,T-Series,32TWO 300H,80 cm (32 inch),WebOS,"HD Ready, 1366 x 768",Yes,NA,50 Hz,LED,3 HDMI | 2 USB,"₹12,990"
598,LG,43UP7500PTZ,108 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹31,990"
599,Panasonic,TH-32MS550DX,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹15,990"
600,LG,55UP8000PTZ,139.7 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹52,095"
601,SONY,KD-32W830,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,"Clear Phase, S-Master Digital Amplifier, Dolby Audio",50 Hz,LED,3 HDMI | 2 USB,"₹35,980"
602,SAMSUNG,UA43CU8000,109 cm (43 inch),Tizen,"Ultra HD (4K), 3840×2160",Yes,NA,50 Hz,LED,3 HDMI | 2 USB,"₹42,890"
603,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
604,LG,OLED55B2PSA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 × 2160",Yes,NA,120 Hz,OLED,4 HDMI | 2 USB,"₹1,18,990"
605,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
606,Blaupunkt,43CSA7121,108 cm (43 Inch),Android,"Full HD, 1920 x 1080",Yes,Surround Sound,60 Hz,LED,3 Rear HDMI | 2 USB,"₹16,999"
607,RGL,RGL4001,99 cm (39 inch),HomeOS,"Full HD, 1920 x 1080",No,NA,50 Hz,LED,2 Rear HDMI | 2 USB,"₹12,990"
608,SAMSUNG,UA43T5410AKXXL,108 cm (43 inch),Tizen,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹33,990"
609,LG,OLED55B8PTA,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital Decoder, DTS Decoder, Dolby Atmos",120 Hz,OLED,4 HDMI | 3 USB,"₹1,14,994"
610,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
611,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
612,REDMI,L32R8-FVIN,80 cm (32 inch),Android,"HD Ready, 1366x768",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹16,499"
613,LG,OLED48A1PTZ,121 cm (48 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Digital,NA,OLED,3 HDMI | 2 USB,"₹1,67,990"
614,Dyanora,DY-LD32H4S,80 cm (32 Inch),Linux,"HD Ready, 1366 x 768",Yes,Surround,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹8,399"
615,TOSHIBA,85Z670MP,215 cm (85 inch),VIDAA,"Ultra HD (4K), 3840 x 2160",Yes,"REGZA Power Audio, Dolby Atmos, Dolby Audio, Dolby Digital, Multi Channel Surround Sound, Stereo Speaker",144 Hz,QLED,4 HDMI | 2 USB,"₹2,47,999"
616,CANDY,CA6560CQLED,165 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,4 HDMI | 2 USB,"₹52,990"
617,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
618,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
619,Panasonic,TH-32LS670DX,80 cm (32 inch),NA,"Full HD, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹18,300"
620,LG,32LM563,80 cm (32 inch),WebOS,"HD Ready, 1366x768",Yes,NA,60 Hz,LED,2 HDMI | 1 USB,"₹19,999"
621,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
622,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
623,Infinix,65W1 QLED,165 cm (65 inch),WebOS,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Audio,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹44,999"
624,LG,OLED55C2PSC,139 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 3 USB,"₹2,19,999"
625,JVC,LT-75NQ7115CGX,189 cm (75 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,QLED,4 HDMI | 2 USB,"₹1,14,490"
626,LG,43LM5600PTC,108 cm (43 inch),WebOS,"Full HD, 1920 x 1080",Yes,NA,50 Hz,LED,2 HDMI | 1 USB,"₹32,499"
627,KODAK,55MT5022,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹32,999"
628,Mi,L43M8-5XIN,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹32,999"
629,LG,OLED55B1PTZ,139.7 cm (55 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,OLED,4 HDMI | 3 USB,"₹1,14,990"
630,Aiwa,A32HDX1,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹11,999"
631,KODAK,75MT5044,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹98,888"
632,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
633,Vu,43GA,108 cm (43 inch),Linux,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 Rear HDMI | 2 Rear USB,"₹23,990"
634,TOSHIBA,43V35KP,108 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,"DTS Virtual X, Dolby Audio, Stereo Speaker",60 Hz,LED,2 HDMI | 2 USB,"₹34,900"
635,Candes,F32N001,81 cm (32 inch),NA,"HD Ready, 1366 x 768",No,Rich & Surround Sound Technology,60 Hz,LED,2 Rear HDMI | 2 USB,"₹9,409"
636,LG,65NANO80TNA,164 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,4 HDMI | 2 USB,"₹99,990"
637,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
638,Blaupunkt,50QD7010,126 cm (50 Inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹29,999"
639,LG,OLED48C1PTZ,121.92 cm (48 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 3 USB,"₹94,990"
640,Lloyd,55QX900D,140 cm (55 inch),Android,"Ultra HD (4K), 3840*2160",Yes,NA,60 Hz,QLED,3 HDMI | 2 USB,"₹52,000"
641,Thomson,Q43H1110,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 × 2160",Yes,Dolby Atmos and DTS TruSurround,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹20,999"
642,KODAK,50CAPROGT5012,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹24,699"
643,Candes,F32N001,81 cm (32 inch),NA,"HD Ready, 1366 x 768",No,Rich & Surround Sound Technology,60 Hz,LED,2 Rear HDMI | 2 USB,"₹9,409"
644,LG,OLED48C1PTZ,121.92 cm (48 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 3 USB,"₹94,990"
645,LG,65NANO80TNA,164 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,4 HDMI | 2 USB,"₹99,990"
646,REDMI,L32R8-FVIN,80 cm (32 inch),Android,"HD Ready, 1366x768",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹16,499"
647,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
648,Aiwa,AS32HDX1,80 cm (32 inch),Android,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹13,139"
649,DETEL,DI43SFA,108 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹23,147"
650,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
651,Panasonic,TH-42JS650DX,105 cm (42 inch),NA,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹40,999"
652,LG,65UP8000PTZ,165.1 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹84,990"
653,LG,43UM7790PTA,109.22 cm (43 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹41,990"
654,LG,OLED65BXPTA,164 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,120 Hz,OLED,4 HDMI | 3 USB,"₹1,81,080"
655,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
656,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
657,iMEE,"43"" Elite Series Smart Pro Framless LED TV-Silver",109 cm (43 inch),Android,"Full HD, 1920 x 1080",Yes,HD Sound with Tube Speakers,50 HZ,LED,2 Rear HDMI | 2 USB,"₹28,999"
658,CORNEA,86CORFLS05,218 cm (86 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 (Rear) HDMI | 3 (Rear) USB,"₹1,80,199"
659,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
660,Dyanora,DY-LD32H4S,80 cm (32 Inch),Linux,"HD Ready, 1366 x 768",Yes,Surround,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹8,399"
661,Acer,AR32GR2841HDFL,80 cm (32 inch),Android,"HD Ready, 1280*1024",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹16,999"
